dataset1,dataset2, dataset1Cardinality, dataset2Cardinality, dataset1GridNPartitions, dataset2GridNPartitions,resultSJSize,selectivity, BNLJMBRTests, BNLJjobsTimes, BNLJjobsTimesRelStdDev, BNLJsizeJoins, BNLJsizeJoinsRelStdDev,PBSMMBRTests, PBSMjobsTimes, PBSMjobsTimesRelStdDev, PBSMsizeJoins, PBSMsizeJoinsRelStdDev,DJMBRTests, DJjobsTimes, DJjobsTimesRelStdDev, DJsizeJoins, DJsizeJoinsRelStdDev,REPJMBRTests, REPJjobsTimes, REPJjobsTimesRelStdDev, REPJsizeJoins, REPJsizeJoinsRelStdDev,Smallest cardinality,Class
parks-00385.csv,lakes-00385.csv,86514,17395,3,5,6605,4.38896E-06,0,0,0,0,0,2063561,8.579,0,0,0,0,0,0,0,0,0,0,0,0,0,17395,1
parks-00460.csv,lakes-00460.csv,64684,17013,4,9,2288,2.07911E-06,0,0,0,0,0,403122,435.137,0,0,0,0,0,0,0,0,0,0,0,0,0,17013,1
parks-00224.csv,lakes-00224.csv,16347,813175,10,115,101101,7.6056E-06,0,0,0,0,0,673948,213.631,0,0,0,0,0,0,0,0,0,0,0,0,0,16347,1
parks-00168.csv,lakes-00168.csv,94911,14831,7,16,3926,2.7891E-06,0,0,0,0,0,953321,146,0,0,0,0,0,0,0,0,0,0,0,0,0,14831,1
parks-00437.csv,lakes-00437.csv,14782,20467,3,7,4089,1.35154E-05,0,0,0,0,0,97772,3.754,0,0,0,0,0,0,0,0,0,0,0,0,0,14782,1
parks-00392.csv,lakes-00392.csv,14511,21163,2,9,4747,1.54577E-05,0,0,0,0,0,112268,50.226,0,0,0,0,0,0,0,0,0,0,0,0,0,14511,1
parks-00372.csv,lakes-00372.csv,13324,38267,8,14,31259,6.13078E-05,0,0,0,0,0,386796,27.587,0,0,0,0,0,0,0,0,0,0,0,0,0,13324,1
parks-00127.csv,lakes-00127.csv,13280,23146,2,13,11091,3.60825E-05,0,0,0,0,0,148763,14.829,0,0,0,0,0,0,0,0,0,0,0,0,0,13280,1
parks-00395.csv,lakes-00395.csv,12645,31922,3,13,3127,7.74674E-06,0,0,0,0,0,146833,20.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12645,1
parks-00432.csv,lakes-00432.csv,14425,12305,3,7,1691,9.52678E-06,0,0,0,0,0,80782,3.159,0,0,0,0,0,0,0,0,0,0,0,0,0,12305,1
parks-00455.csv,lakes-00455.csv,28740,11981,4,4,3794,1.10184E-05,0,0,0,0,0,165480,37.796,0,0,0,0,0,0,0,0,0,0,0,0,0,11981,1
parks-00449.csv,lakes-00449.csv,28032,11811,3,5,9854,2.97627E-05,0,0,0,0,0,149952,416.519,0,0,0,0,0,0,0,0,0,0,0,0,0,11811,1
parks-00123.csv,lakes-00123.csv,10382,12632,1,5,1980,1.50977E-05,0,0,0,0,0,78259,5.686,0,0,0,0,0,0,0,0,0,0,0,0,0,10382,1
parks-00153.csv,lakes-00153.csv,19200,10144,4,5,1018,5.22682E-06,0,0,0,0,0,250915,7.075,0,0,0,0,0,0,0,0,0,0,0,0,0,10144,1
parks-00362.csv,lakes-00362.csv,14504,9950,3,4,5629,3.9005E-05,0,0,0,0,0,177176,6.069,0,0,0,0,0,0,0,0,0,0,0,0,0,9950,1
parks-00245.csv,lakes-00245.csv,9547,80122,19,20,33765,4.41416E-05,0,0,0,0,0,395717,10.803,0,0,0,0,0,0,0,0,0,0,0,0,0,9547,1
parks-00394.csv,lakes-00394.csv,9494,10077,2,6,1937,2.02465E-05,0,0,0,0,0,85302,8.049,0,0,0,0,0,0,0,0,0,0,0,0,0,9494,1
parks-00052.csv,lakes-00052.csv,8509,50891,22,17,8676,2.00355E-05,0,0,0,0,0,200264,1571.308,0,0,0,0,0,0,0,0,0,0,0,0,0,8509,1
parks-00409.csv,lakes-00409.csv,7873,7903,3,4,2989,4.8039E-05,0,0,0,0,0,79745,22.603,0,0,0,0,0,0,0,0,0,0,0,0,0,7873,1
parks-00213.csv,lakes-00213.csv,7740,330820,10,60,89663,3.50171E-05,0,0,0,0,0,581483,137.004,0,0,0,0,0,0,0,0,0,0,0,0,0,7740,1
parks-00415.csv,lakes-00415.csv,6991,12266,1,7,915,1.06704E-05,0,0,0,0,0,52980,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6991,1
parks-00147.csv,lakes-00147.csv,11702,6789,2,2,2956,3.72082E-05,0,0,0,0,0,66574,2.301,0,0,0,0,0,0,0,0,0,0,0,0,0,6789,1
parks-00371.csv,lakes-00371.csv,14234,6490,5,2,6075,6.57619E-05,0,0,0,0,0,85435,6.954,0,0,0,0,0,0,0,0,0,0,0,0,0,6490,1
parks-00457.csv,lakes-00457.csv,6410,6770,1,3,704,1.62228E-05,0,0,0,0,0,41102,8.436,0,0,0,0,0,0,0,0,0,0,0,0,0,6410,1
parks-00411.csv,lakes-00411.csv,6273,16972,1,5,1190,1.11773E-05,0,0,0,0,0,98485,10.022,0,0,0,0,0,0,0,0,0,0,0,0,0,6273,1
parks-00448.csv,lakes-00448.csv,10695,6099,2,3,374,5.73366E-06,0,0,0,0,0,26036,13.129,0,0,0,0,0,0,0,0,0,0,0,0,0,6099,1
parks-00462.csv,lakes-00462.csv,8831,5561,2,3,859,1.74916E-05,0,0,0,0,0,53458,5.661,0,0,0,0,0,0,0,0,0,0,0,0,0,5561,1
parks-00218.csv,lakes-00218.csv,5310,179869,1,32,9730,1.01874E-05,0,0,0,0,0,222960,302.727,0,0,0,0,0,0,0,0,0,0,0,0,0,5310,1
parks-00469.csv,lakes-00469.csv,6959,5184,2,4,665,1.84336E-05,0,0,0,0,0,35196,13.356,0,0,0,0,0,0,0,0,0,0,0,0,0,5184,1
parks-00418.csv,lakes-00418.csv,4993,11940,3,4,8519,0.000142897,0,0,0,0,0,286713,11.348,0,0,0,0,0,0,0,0,0,0,0,0,0,4993,1
parks-00383.csv,lakes-00383.csv,4932,4913,1,2,5822,0.000240272,0,0,0,0,0,33667,1.703,0,0,0,0,0,0,0,0,0,0,0,0,0,4913,1
parks-00429.csv,lakes-00429.csv,9500,4517,2,2,2029,4.72834E-05,0,0,0,0,0,67306,2.351,0,0,0,0,0,0,0,0,0,0,0,0,0,4517,1
parks-00422.csv,lakes-00422.csv,4355,27066,2,14,4802,4.0739E-05,0,0,0,0,0,76330,8.415,0,0,0,0,0,0,0,0,0,0,0,0,0,4355,1
parks-00030.csv,lakes-00030.csv,4133,26193,23,13,14351,0.000132566,0,0,0,0,0,147602,1216.689,0,0,0,0,0,0,0,0,0,0,0,0,0,4133,1
parks-00183.csv,lakes-00183.csv,10167,4050,4,2,4400,0.000106857,0,0,0,0,0,72992,2.656,0,0,0,0,0,0,0,0,0,0,0,0,0,4050,1
parks-00307.csv,lakes-00307.csv,10283,3629,4,2,5436,0.000145671,0,0,0,0,0,135622,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,3629,1
parks-00105.csv,lakes-00105.csv,5353,3526,2,2,2862,0.000151632,0,0,0,0,0,74522,5.511,0,0,0,0,0,0,0,0,0,0,0,0,0,3526,1
parks-00421.csv,lakes-00421.csv,3398,9777,2,5,971,2.92274E-05,0,0,0,0,0,23096,4.408,0,0,0,0,0,0,0,0,0,0,0,0,0,3398,1
parks-00210.csv,lakes-00210.csv,3367,121740,4,26,57857,0.00014115,0,0,0,0,0,404964,238.817,0,0,0,0,0,0,0,0,0,0,0,0,0,3367,1
parks-00426.csv,lakes-00426.csv,3028,3826,1,2,1403,0.000121104,0,0,0,0,0,19565,1.747,0,0,0,0,0,0,0,0,0,0,0,0,0,3028,1
parks-00428.csv,lakes-00428.csv,3726,2801,2,2,817,7.82828E-05,0,0,0,0,0,21235,3.588,0,0,0,0,0,0,0,0,0,0,0,0,0,2801,1
parks-00121.csv,lakes-00121.csv,15680,2590,2,2,1005,2.47469E-05,0,0,0,0,0,65369,18.138,0,0,0,0,0,0,0,0,0,0,0,0,0,2590,1
parks-00417.csv,lakes-00417.csv,2456,7487,2,4,1804,9.81071E-05,0,0,0,0,0,66974,7.967,0,0,0,0,0,0,0,0,0,0,0,0,0,2456,1
parks-00233.csv,lakes-00233.csv,1706,16219,2,6,8901,0.000321689,0,0,0,0,0,107876,31.895,0,0,0,0,0,0,0,0,0,0,0,0,0,1706,1
parks-00166.csv,lakes-00166.csv,1662,2256,3,3,3590,0.000957468,0,0,0,0,0,126104,9.092,0,0,0,0,0,0,0,0,0,0,0,0,0,1662,1
parks-00126.csv,lakes-00126.csv,1498,3420,1,12,3726,0.000727286,0,0,0,0,0,54882,36.119,0,0,0,0,0,0,0,0,0,0,0,0,0,1498,1
parks-00419.csv,lakes-00419.csv,1483,2092,1,1,641,0.000206612,0,0,0,0,0,32950,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1483,1
